hood,crimecount
Excelsior,2952
Haight Ashbury,3610
Marina,3281
Potrero Hill,3425
West of Twin Peaks,1510
Financial District,8724
Inner Sunset,1717
Outer Mission,2794
Treasure Island/YBI,258
Castro/Upper Market,4300
Noe Valley,1259
North Beach,5105
Glen Park,571
Twin Peaks,589
South of Market,22593
Presidio Heights,709
Pacific Heights,1821
Presidio,19
Russian Hill,3093
Ocean View,1977
Outer Sunset,2605
Visitacion Valley,2130
Seacliff,603
Parkside,1880
Golden Gate Park,1907
Diamond Heights,255
Outer Richmond,2254
Nob Hill,2862
Western Addition,10425
hood,1
Crocker Amazon,685
Chinatown,1742
Bernal Heights,2944
Downtown/Civic Center,19782
Lakeshore,2646
Inner Richmond,3110
Bayview,8644
Mission,15190
