hood,category,count
Bayview,OTHER OFFENSES,1680
Bayview,ASSAULT,1295
Bayview,LARCENY/THEFT,881
Bayview,NON-CRIMINAL,733
Bayview,VEHICLE THEFT,706
Bayview,VANDALISM,547
Bayview,SUSPICIOUS OCC,391
Bayview,WARRANTS,376
Bayview,MISSING PERSON,316
Bayview,DRUG/NARCOTIC,248
Bayview,BURGLARY,239
Bayview,WEAPON LAWS,235
Bayview,ROBBERY,205
Bayview,SECONDARY CODES,177
Bayview,RECOVERED VEHICLE,144
Bayview,TRESPASS,59
Bayview,FRAUD,58
Bayview,"SEX OFFENSES, FORCIBLE",55
Bayview,ARSON,54
Bayview,KIDNAPPING,46
Bayview,STOLEN PROPERTY,33
Bayview,RUNAWAY,23
Bayview,FORGERY/COUNTERFEITING,22
Bayview,EMBEZZLEMENT,20
Bayview,LIQUOR LAWS,20
Bayview,DISORDERLY CONDUCT,20
Bayview,DRUNKENNESS,17
Bayview,DRIVING UNDER THE INFLUENCE,14
Bayview,BRIBERY,12
Bayview,FAMILY OFFENSES,4
Bayview,GAMBLING,4
Bayview,EXTORTION,4
Bayview,SUICIDE,3
Bayview,BAD CHECKS,2
Bayview,"SEX OFFENSES, NON FORCIBLE",1
Bernal Heights,LARCENY/THEFT,523
Bernal Heights,OTHER OFFENSES,413
Bernal Heights,ASSAULT,372
Bernal Heights,NON-CRIMINAL,315
Bernal Heights,VEHICLE THEFT,263
Bernal Heights,VANDALISM,179
Bernal Heights,BURGLARY,174
Bernal Heights,SUSPICIOUS OCC,131
Bernal Heights,MISSING PERSON,120
Bernal Heights,ROBBERY,85
Bernal Heights,WARRANTS,77
Bernal Heights,SECONDARY CODES,42
Bernal Heights,WEAPON LAWS,38
Bernal Heights,DRUG/NARCOTIC,35
Bernal Heights,FRAUD,33
Bernal Heights,TRESPASS,30
Bernal Heights,RECOVERED VEHICLE,26
Bernal Heights,STOLEN PROPERTY,15
Bernal Heights,"SEX OFFENSES, FORCIBLE",15
Bernal Heights,FORGERY/COUNTERFEITING,10
Bernal Heights,DRUNKENNESS,8
Bernal Heights,DRIVING UNDER THE INFLUENCE,7
Bernal Heights,KIDNAPPING,7
Bernal Heights,LIQUOR LAWS,7
Bernal Heights,DISORDERLY CONDUCT,7
Bernal Heights,ARSON,5
Bernal Heights,EMBEZZLEMENT,1
Bernal Heights,TREA,1
Bernal Heights,SUICIDE,1
Bernal Heights,EXTORTION,1
Bernal Heights,RUNAWAY,1
Bernal Heights,LOITERING,1
Bernal Heights,BRIBERY,1
Castro/Upper Market,LARCENY/THEFT,967
Castro/Upper Market,NON-CRIMINAL,599
Castro/Upper Market,OTHER OFFENSES,461
Castro/Upper Market,ASSAULT,399
Castro/Upper Market,VANDALISM,283
Castro/Upper Market,VEHICLE THEFT,257
Castro/Upper Market,BURGLARY,227
Castro/Upper Market,WARRANTS,202
Castro/Upper Market,SUSPICIOUS OCC,200
Castro/Upper Market,MISSING PERSON,120
Castro/Upper Market,DRUG/NARCOTIC,104
Castro/Upper Market,ROBBERY,96
Castro/Upper Market,FRAUD,91
Castro/Upper Market,TRESPASS,66
Castro/Upper Market,WEAPON LAWS,42
Castro/Upper Market,SECONDARY CODES,42
Castro/Upper Market,STOLEN PROPERTY,23
Castro/Upper Market,"SEX OFFENSES, FORCIBLE",22
Castro/Upper Market,DRUNKENNESS,21
Castro/Upper Market,RECOVERED VEHICLE,16
Castro/Upper Market,DISORDERLY CONDUCT,14
Castro/Upper Market,FORGERY/COUNTERFEITING,12
Castro/Upper Market,DRIVING UNDER THE INFLUENCE,11
Castro/Upper Market,ARSON,7
Castro/Upper Market,LIQUOR LAWS,5
Castro/Upper Market,KIDNAPPING,4
Castro/Upper Market,EMBEZZLEMENT,4
Castro/Upper Market,BRIBERY,1
Castro/Upper Market,FAMILY OFFENSES,1
Castro/Upper Market,"SEX OFFENSES, NON FORCIBLE",1
Castro/Upper Market,PROSTITUTION,1
Castro/Upper Market,SUICIDE,1
Chinatown,LARCENY/THEFT,571
Chinatown,NON-CRIMINAL,247
Chinatown,OTHER OFFENSES,169
Chinatown,ASSAULT,150
Chinatown,VANDALISM,125
Chinatown,ROBBERY,57
Chinatown,SUSPICIOUS OCC,55
Chinatown,MISSING PERSON,53
Chinatown,BURGLARY,45
Chinatown,FRAUD,40
Chinatown,WARRANTS,38
Chinatown,VEHICLE THEFT,37
Chinatown,DRUG/NARCOTIC,27
Chinatown,SECONDARY CODES,21
Chinatown,TRESPASS,17
Chinatown,WEAPON LAWS,15
Chinatown,PROSTITUTION,14
Chinatown,STOLEN PROPERTY,13
Chinatown,ARSON,10
Chinatown,DRUNKENNESS,9
Chinatown,"SEX OFFENSES, FORCIBLE",8
Chinatown,FORGERY/COUNTERFEITING,6
Chinatown,RECOVERED VEHICLE,3
Chinatown,EMBEZZLEMENT,3
Chinatown,EXTORTION,3
Chinatown,DRIVING UNDER THE INFLUENCE,2
Chinatown,KIDNAPPING,2
Chinatown,DISORDERLY CONDUCT,1
Chinatown,LIQUOR LAWS,1
Crocker Amazon,OTHER OFFENSES,120
Crocker Amazon,ASSAULT,106
Crocker Amazon,LARCENY/THEFT,68
Crocker Amazon,NON-CRIMINAL,65
Crocker Amazon,VANDALISM,46
Crocker Amazon,MISSING PERSON,41
Crocker Amazon,VEHICLE THEFT,41
Crocker Amazon,SUSPICIOUS OCC,33
Crocker Amazon,WARRANTS,27
Crocker Amazon,BURGLARY,21
Crocker Amazon,ROBBERY,19
Crocker Amazon,DRUG/NARCOTIC,16
Crocker Amazon,WEAPON LAWS,12
Crocker Amazon,SECONDARY CODES,10
Crocker Amazon,FRAUD,9
Crocker Amazon,STOLEN PROPERTY,8
Crocker Amazon,RECOVERED VEHICLE,8
Crocker Amazon,KIDNAPPING,6
Crocker Amazon,"SEX OFFENSES, FORCIBLE",5
Crocker Amazon,TRESPASS,4
Crocker Amazon,DRIVING UNDER THE INFLUENCE,3
Crocker Amazon,EMBEZZLEMENT,3
Crocker Amazon,FORGERY/COUNTERFEITING,2
Crocker Amazon,RUNAWAY,2
Crocker Amazon,EXTORTION,2
Crocker Amazon,SUICIDE,2
Crocker Amazon,GAMBLING,2
Crocker Amazon,DISORDERLY CONDUCT,1
Crocker Amazon,ARSON,1
Crocker Amazon,LIQUOR LAWS,1
Crocker Amazon,DRUNKENNESS,1
Diamond Heights,LARCENY/THEFT,62
Diamond Heights,OTHER OFFENSES,47
Diamond Heights,NON-CRIMINAL,40
Diamond Heights,BURGLARY,22
Diamond Heights,VEHICLE THEFT,17
Diamond Heights,VANDALISM,15
Diamond Heights,ASSAULT,11
Diamond Heights,MISSING PERSON,10
Diamond Heights,SUSPICIOUS OCC,8
Diamond Heights,DRUG/NARCOTIC,5
Diamond Heights,ROBBERY,4
Diamond Heights,"SEX OFFENSES, FORCIBLE",3
Diamond Heights,SECONDARY CODES,3
Diamond Heights,WARRANTS,2
Diamond Heights,TRESPASS,2
Diamond Heights,FRAUD,1
Diamond Heights,RUNAWAY,1
Diamond Heights,ARSON,1
Diamond Heights,FORGERY/COUNTERFEITING,1
Downtown/Civic Center,LARCENY/THEFT,4693
Downtown/Civic Center,NON-CRIMINAL,2632
Downtown/Civic Center,OTHER OFFENSES,2341
Downtown/Civic Center,ASSAULT,2214
Downtown/Civic Center,DRUG/NARCOTIC,1442
Downtown/Civic Center,WARRANTS,1229
Downtown/Civic Center,SUSPICIOUS OCC,853
Downtown/Civic Center,VANDALISM,824
Downtown/Civic Center,ROBBERY,637
Downtown/Civic Center,BURGLARY,405
Downtown/Civic Center,VEHICLE THEFT,387
Downtown/Civic Center,MISSING PERSON,318
Downtown/Civic Center,FRAUD,312
Downtown/Civic Center,TRESPASS,265
Downtown/Civic Center,WEAPON LAWS,219
Downtown/Civic Center,SECONDARY CODES,177
Downtown/Civic Center,DISORDERLY CONDUCT,156
Downtown/Civic Center,STOLEN PROPERTY,125
Downtown/Civic Center,FORGERY/COUNTERFEITING,108
Downtown/Civic Center,"SEX OFFENSES, FORCIBLE",105
Downtown/Civic Center,RECOVERED VEHICLE,76
Downtown/Civic Center,DRUNKENNESS,70
Downtown/Civic Center,KIDNAPPING,32
Downtown/Civic Center,PROSTITUTION,29
Downtown/Civic Center,DRIVING UNDER THE INFLUENCE,25
Downtown/Civic Center,EMBEZZLEMENT,23
Downtown/Civic Center,ARSON,22
Downtown/Civic Center,LIQUOR LAWS,20
Downtown/Civic Center,BRIBERY,9
Downtown/Civic Center,SUICIDE,7
Downtown/Civic Center,LOITERING,6
Downtown/Civic Center,FAMILY OFFENSES,5
Downtown/Civic Center,RUNAWAY,5
Downtown/Civic Center,GAMBLING,4
Downtown/Civic Center,"SEX OFFENSES, NON FORCIBLE",2
Downtown/Civic Center,BAD CHECKS,2
Downtown/Civic Center,EXTORTION,2
Downtown/Civic Center,PORNOGRAPHY/OBSCENE MAT,1
Excelsior,OTHER OFFENSES,452
Excelsior,ASSAULT,393
Excelsior,LARCENY/THEFT,387
Excelsior,NON-CRIMINAL,258
Excelsior,VEHICLE THEFT,251
Excelsior,MISSING PERSON,230
Excelsior,VANDALISM,210
Excelsior,SUSPICIOUS OCC,133
Excelsior,ROBBERY,114
Excelsior,BURGLARY,106
Excelsior,WARRANTS,74
Excelsior,SECONDARY CODES,70
Excelsior,DRUG/NARCOTIC,56
Excelsior,WEAPON LAWS,37
Excelsior,FRAUD,35
Excelsior,RECOVERED VEHICLE,31
Excelsior,"SEX OFFENSES, FORCIBLE",28
Excelsior,STOLEN PROPERTY,16
Excelsior,KIDNAPPING,10
Excelsior,TRESPASS,9
Excelsior,FORGERY/COUNTERFEITING,9
Excelsior,DRIVING UNDER THE INFLUENCE,7
Excelsior,DRUNKENNESS,6
Excelsior,RUNAWAY,5
Excelsior,BRIBERY,5
Excelsior,ARSON,4
Excelsior,EXTORTION,3
Excelsior,SUICIDE,3
Excelsior,FAMILY OFFENSES,3
Excelsior,BAD CHECKS,2
Excelsior,"SEX OFFENSES, NON FORCIBLE",2
Excelsior,EMBEZZLEMENT,1
Excelsior,DISORDERLY CONDUCT,1
Excelsior,PROSTITUTION,1
Financial District,LARCENY/THEFT,3091
Financial District,NON-CRIMINAL,1085
Financial District,OTHER OFFENSES,854
Financial District,ASSAULT,685
Financial District,VANDALISM,454
Financial District,BURGLARY,312
Financial District,WARRANTS,305
Financial District,SUSPICIOUS OCC,277
Financial District,PROSTITUTION,259
Financial District,FRAUD,255
Financial District,ROBBERY,225
Financial District,VEHICLE THEFT,167
Financial District,TRESPASS,122
Financial District,MISSING PERSON,110
Financial District,DRUG/NARCOTIC,95
Financial District,WEAPON LAWS,68
Financial District,STOLEN PROPERTY,59
Financial District,FORGERY/COUNTERFEITING,57
Financial District,"SEX OFFENSES, FORCIBLE",51
Financial District,SECONDARY CODES,50
Financial District,DRUNKENNESS,25
Financial District,DISORDERLY CONDUCT,22
Financial District,EMBEZZLEMENT,18
Financial District,ARSON,16
Financial District,DRIVING UNDER THE INFLUENCE,15
Financial District,RECOVERED VEHICLE,14
Financial District,KIDNAPPING,7
Financial District,LOITERING,7
Financial District,BAD CHECKS,4
Financial District,RUNAWAY,4
Financial District,SUICIDE,3
Financial District,EXTORTION,2
Financial District,FAMILY OFFENSES,1
Financial District,BRIBERY,1
Financial District,LIQUOR LAWS,1
Financial District,"SEX OFFENSES, NON FORCIBLE",1
Financial District,PORNOGRAPHY/OBSCENE MAT,1
Financial District,TREA,1
Glen Park,LARCENY/THEFT,149
Glen Park,OTHER OFFENSES,88
Glen Park,NON-CRIMINAL,79
Glen Park,VEHICLE THEFT,57
Glen Park,BURGLARY,41
Glen Park,ASSAULT,40
Glen Park,VANDALISM,31
Glen Park,MISSING PERSON,22
Glen Park,SUSPICIOUS OCC,21
Glen Park,FRAUD,9
Glen Park,SECONDARY CODES,7
Glen Park,WARRANTS,6
Glen Park,"SEX OFFENSES, FORCIBLE",4
Glen Park,TRESPASS,4
Glen Park,DRIVING UNDER THE INFLUENCE,3
Glen Park,ROBBERY,3
Glen Park,DRUG/NARCOTIC,2
Glen Park,RECOVERED VEHICLE,2
Glen Park,WEAPON LAWS,1
Glen Park,LIQUOR LAWS,1
Glen Park,LOITERING,1
Golden Gate Park,LARCENY/THEFT,892
Golden Gate Park,NON-CRIMINAL,276
Golden Gate Park,OTHER OFFENSES,210
Golden Gate Park,DRUG/NARCOTIC,76
Golden Gate Park,VANDALISM,74
Golden Gate Park,ASSAULT,66
Golden Gate Park,WARRANTS,58
Golden Gate Park,SUSPICIOUS OCC,53
Golden Gate Park,VEHICLE THEFT,44
Golden Gate Park,MISSING PERSON,28
Golden Gate Park,ROBBERY,25
Golden Gate Park,BURGLARY,23
Golden Gate Park,FRAUD,17
Golden Gate Park,WEAPON LAWS,13
Golden Gate Park,STOLEN PROPERTY,12
Golden Gate Park,DRIVING UNDER THE INFLUENCE,10
Golden Gate Park,TRESPASS,6
Golden Gate Park,SECONDARY CODES,6
Golden Gate Park,RECOVERED VEHICLE,5
Golden Gate Park,"SEX OFFENSES, FORCIBLE",5
Golden Gate Park,ARSON,3
Golden Gate Park,KIDNAPPING,1
Golden Gate Park,DISORDERLY CONDUCT,1
Golden Gate Park,SUICIDE,1
Golden Gate Park,FORGERY/COUNTERFEITING,1
Golden Gate Park,DRUNKENNESS,1
Haight Ashbury,LARCENY/THEFT,659
Haight Ashbury,NON-CRIMINAL,621
Haight Ashbury,MISSING PERSON,435
Haight Ashbury,OTHER OFFENSES,432
Haight Ashbury,VEHICLE THEFT,190
Haight Ashbury,ASSAULT,189
Haight Ashbury,WARRANTS,176
Haight Ashbury,BURGLARY,174
Haight Ashbury,DRUG/NARCOTIC,173
Haight Ashbury,VANDALISM,140
Haight Ashbury,SUSPICIOUS OCC,94
Haight Ashbury,FRAUD,63
Haight Ashbury,ROBBERY,43
Haight Ashbury,WEAPON LAWS,32
Haight Ashbury,TRESPASS,28
Haight Ashbury,SECONDARY CODES,27
Haight Ashbury,RUNAWAY,26
Haight Ashbury,"SEX OFFENSES, FORCIBLE",24
Haight Ashbury,STOLEN PROPERTY,16
Haight Ashbury,DISORDERLY CONDUCT,13
Haight Ashbury,FORGERY/COUNTERFEITING,9
Haight Ashbury,LIQUOR LAWS,8
Haight Ashbury,DRIVING UNDER THE INFLUENCE,8
Haight Ashbury,ARSON,7
Haight Ashbury,RECOVERED VEHICLE,7
Haight Ashbury,DRUNKENNESS,5
Haight Ashbury,KIDNAPPING,3
Haight Ashbury,EMBEZZLEMENT,2
Haight Ashbury,SUICIDE,2
Haight Ashbury,EXTORTION,2
Haight Ashbury,PROSTITUTION,1
Haight Ashbury,"SEX OFFENSES, NON FORCIBLE",1
Inner Richmond,LARCENY/THEFT,897
