category,hood,weekday,month,hour,count
THEFT,NorthEast,6,09,18,39
THEFT,NorthEast,3,12,08,15
CONDUCT,NorthEast,4,02,16,2
FRAUD,NorthEast,4,12,08,1
SEX,SouthWest,4,03,13,1
THEFT,NorthWest,3,04,02,2
THEFT,NorthEast,7,06,11,20
SEX,NorthWest,5,03,07,1
DRUG/ALC,NorthWest,7,10,16,1
SEX,SouthWest,3,11,21,1
CONDUCT,SouthWest,2,07,20,1
THEFT,SouthEast,7,12,10,1
MISSING PERSONS,Center,3,04,12,2
THEFT,Center,6,09,17,4
THEFT,NorthEast,7,12,15,21
FRAUD,SouthWest,1,11,08,1
SEX,NorthWest,4,09,12,1
TRESPASSING,NorthEast,4,07,06,1
THEFT,SouthWest,1,07,15,1
DRUG/ALC,NorthEast,3,07,21,3
OTHER,NorthEast,6,03,10,12
SEX,NorthEast,1,10,03,2
OTHER,SouthWest,6,01,19,2
OTHER,SouthEast,6,03,15,11
MISSING PERSONS,Center,5,08,13,2
SEX,SouthWest,4,04,16,1
OTHER,NorthEast,7,07,14,17
DRUG/ALC,Center,4,08,22,1
MISSING PERSONS,SouthEast,3,03,18,3
THEFT,NorthEast,3,10,02,5
THEFT,NorthEast,3,02,22,19
OTHER,SouthWest,1,12,14,3
DRUG/ALC,NorthEast,7,04,16,3
SEX,NorthEast,1,01,04,1
MISSING PERSONS,SouthEast,3,06,22,1
FRAUD,NorthEast,2,08,11,1
THEFT,NorthWest,5,06,13,9
SEX,SouthEast,7,07,17,4
THEFT,SouthWest,4,06,07,4
MISSING PERSONS,NorthEast,5,01,15,6
DRUG/ALC,Center,2,02,11,2
OTHER,NorthEast,4,11,14,14
SEX,SouthEast,2,03,21,2
SEX,NorthEast,5,08,21,4
MISSING PERSONS,SouthEast,5,01,10,2
MISSING PERSONS,SouthWest,5,10,12,2
OTHER,SouthEast,1,06,12,3
THEFT,Center,2,10,09,5
THEFT,SouthWest,3,07,19,1
CONDUCT,SouthEast,4,11,16,1
THEFT,NorthWest,7,02,21,6
THEFT,SouthWest,2,06,18,6
THEFT,Center,5,07,17,5
OTHER,SouthEast,1,08,02,3
THEFT,SouthEast,4,09,20,5
THEFT,NorthEast,7,01,01,15
FRAUD,SouthWest,2,10,20,1
DRUG/ALC,NorthEast,1,05,17,2
THEFT,SouthWest,2,03,22,2
SEX,NorthEast,2,11,04,4
THEFT,NorthEast,5,07,18,46
THEFT,SouthEast,6,06,02,1
DRUG/ALC,NorthWest,4,11,22,1
SEX,NorthEast,4,02,17,3
OTHER,Center,1,04,22,5
MISSING PERSONS,NorthWest,5,11,13,1
THEFT,SouthEast,3,11,22,6
FRAUD,NorthEast,3,05,10,1
THEFT,SouthEast,6,08,12,3
THEFT,NorthEast,4,05,10,16
THEFT,SouthEast,4,05,15,4
CONDUCT,NorthEast,7,11,02,2
MISSING PERSONS,NorthEast,7,08,23,2
SEX,Center,5,12,10,3
OTHER,SouthEast,4,02,14,3
FRAUD,SouthWest,2,01,08,1
SEX,Center,6,11,20,2
FRAUD,NorthEast,1,09,00,3
MISSING PERSONS,NorthEast,6,10,22,1
MISSING PERSONS,NorthEast,1,12,07,2
OTHER,NorthWest,5,01,14,1
MISSING PERSONS,NorthWest,4,11,15,1
THEFT,SouthEast,5,05,13,3
OTHER,NorthWest,3,02,20,1
OTHER,NorthWest,2,01,00,2
OTHER,NorthWest,4,03,02,3
THEFT,Center,6,06,00,4
THEFT,Center,7,01,19,4
CONDUCT,NorthWest,5,09,10,3
SEX,NorthEast,1,03,18,4
OTHER,SouthWest,7,09,17,1
OTHER,SouthEast,5,04,11,2
FRAUD,Center,2,07,15,3
THEFT,NorthEast,6,11,03,9
OTHER,Center,1,08,00,6
OTHER,SouthEast,7,10,13,4
CONDUCT,SouthEast,6,05,21,1
FRAUD,NorthWest,4,09,14,1
THEFT,NorthWest,3,09,14,6
SEX,NorthEast,5,05,23,4
CONDUCT,NorthEast,7,12,09,1
DRUG/ALC,NorthWest,6,04,15,2
SEX,NorthEast,1,06,22,3
THEFT,Center,2,11,08,2
THEFT,Center,4,12,23,9
SEX,Center,4,01,21,1
MISSING PERSONS,Center,6,05,12,2
SEX,SouthEast,4,08,01,1
THEFT,NorthWest,4,12,11,5
OTHER,NorthWest,2,09,05,1
THEFT,NorthWest,4,06,15,6
THEFT,Center,5,04,06,1
TRESPASSING,NorthEast,2,07,20,1
THEFT,Center,1,01,08,2
MISSING PERSONS,NorthEast,4,01,13,1
THEFT,NorthWest,6,05,02,4
SEX,SouthWest,5,03,15,2
THEFT,Center,1,10,20,9
CONDUCT,Center,4,12,12,1
MISSING PERSONS,Center,2,06,08,4
THEFT,NorthWest,5,07,01,2
THEFT,NorthWest,1,07,07,2
DRUG/ALC,Center,4,04,00,2
SEX,Center,7,05,13,5
OTHER,NorthWest,1,11,00,2
SEX,SouthEast,3,12,07,6
OTHER,NorthWest,1,05,12,2
OTHER,Center,2,09,11,7
THEFT,NorthWest,7,01,18,5
THEFT,SouthEast,6,02,03,1
THEFT,NorthWest,2,08,08,1
SEX,NorthEast,5,05,05,2
THEFT,Center,4,12,05,2
SEX,SouthEast,3,04,02,2
THEFT,SouthEast,5,03,07,3
THEFT,NorthEast,2,08,07,7
CONDUCT,Center,6,02,13,1
OTHER,Center,4,04,10,7
DRUG/ALC,Center,5,07,22,1
THEFT,SouthEast,1,04,03,1
DRUG/ALC,NorthEast,6,12,06,1
SEX,NorthEast,7,11,21,5
DRUG/ALC,Center,5,05,08,3
THEFT,NorthEast,5,06,23,27
THEFT,NorthEast,1,05,22,26
THEFT,SouthWest,3,06,11,3
MISSING PERSONS,Center,4,07,13,1
FRAUD,SouthWest,4,06,11,1
FRAUD,NorthEast,2,09,16,1
OTHER,Center,3,11,03,5
THEFT,NorthEast,1,07,08,19
OTHER,SouthEast,1,06,20,2
MISSING PERSONS,SouthEast,5,02,23,1
SEX,NorthEast,4,07,21,2
THEFT,NorthWest,2,02,04,1
THEFT,SouthWest,3,12,15,2
DRUG/ALC,NorthEast,1,12,21,1
FRAUD,SouthWest,4,12,15,1
THEFT,SouthWest,2,07,23,2
TRESPASSING,Center,3,02,00,1
THEFT,SouthEast,4,02,19,11
FRAUD,SouthWest,2,10,12,2
THEFT,SouthEast,4,09,12,3
MISSING PERSONS,NorthEast,5,11,05,1
CONDUCT,NorthEast,2,09,22,1
THEFT,NorthWest,4,11,17,4
OTHER,SouthWest,6,07,01,2
OTHER,SouthWest,3,07,14,4
OTHER,NorthEast,3,06,00,29
SEX,Center,6,05,00,1
SEX,Center,3,08,22,2
THEFT,SouthWest,7,02,22,1
THEFT,SouthWest,7,10,02,1
MISSING PERSONS,NorthEast,1,09,14,4
THEFT,NorthWest,2,03,21,4
DRUG/ALC,NorthWest,7,03,23,1
TRESPASSING,NorthEast,5,08,06,1
THEFT,SouthEast,6,08,20,2
SEX,SouthEast,5,06,13,1
SEX,NorthEast,5,09,09,4
THEFT,Center,5,02,21,6
THEFT,NorthWest,7,07,17,5
MISSING PERSONS,Center,3,04,20,2
SEX,SouthEast,7,02,21,4
FRAUD,SouthWest,6,06,16,1
SEX,NorthWest,4,09,20,2
THEFT,SouthWest,1,12,19,3
THEFT,Center,7,06,13,3
THEFT,SouthWest,3,01,01,5
THEFT,SouthWest,6,01,14,3
THEFT,NorthEast,5,06,05,5
FRAUD,NorthEast,1,02,10,1
OTHER,NorthWest,3,08,03,1
THEFT,NorthEast,7,07,19,28
OTHER,SouthWest,5,12,16,5
CONDUCT,NorthEast,5,06,12,2
DRUG/ALC,Center,6,09,22,1
FRAUD,NorthEast,3,11,19,2
THEFT,NorthEast,4,11,19,32
CONDUCT,SouthEast,4,01,00,1
CONDUCT,NorthEast,5,08,02,1
MISSING PERSONS,NorthEast,5,11,23,2
SEX,NorthWest,6,08,12,5
SEX,NorthWest,4,05,15,1
THEFT,Center,4,08,17,5
SEX,NorthEast,6,07,09,8
OTHER,SouthWest,1,09,07,1
FRAUD,NorthEast,2,01,15,1
SEX,NorthWest,6,06,02,2
DRUG/ALC,NorthEast,3,02,17,1
OTHER,SouthEast,6,10,00,6
MISSING PERSONS,SouthEast,2,03,11,1
MISSING PERSONS,NorthEast,5,08,11,2
CONDUCT,SouthWest,6,03,18,2
DRUG/ALC,NorthEast,2,02,13,2
FRAUD,NorthEast,3,08,18,1
THEFT,NorthEast,4,08,18,31
DRUG/ALC,Center,5,10,16,4
SEX,Center,7,03,07,1
CONDUCT,Center,2,12,06,1
FRAUD,Center,2,08,13,1
DRUG/ALC,NorthEast,7,05,07,2
SEX,NorthWest,5,05,13,4
OTHER,NorthWest,2,11,16,13
TRESPASSING,NorthEast,2,07,12,1
THEFT,NorthEast,7,10,06,2
THEFT,Center,4,11,01,2
FRAUD,Center,6,11,14,1
THEFT,Center,5,01,18,10
OTHER,NorthWest,1,09,15,3
MISSING PERSONS,Center,6,05,20,2
OTHER,Center,6,02,22,4
OTHER,Center,6,10,02,5
MISSING PERSONS,Center,4,01,11,1
THEFT,Center,7,07,01,2
THEFT,NorthEast,5,01,17,33
SEX,SouthWest,1,02,11,2
THEFT,Center,3,03,10,2
TRESPASSING,Center,1,01,09,1
THEFT,NorthWest,7,04,06,3
OTHER,SouthEast,7,04,23,1
OTHER,NorthWest,1,05,20,6
OTHER,NorthEast,3,09,17,26
OTHER,NorthEast,2,12,03,7
OTHER,SouthEast,2,06,09,1
OTHER,NorthEast,2,09,13,14
MISSING PERSONS,NorthEast,7,12,17,3
CONDUCT,Center,5,03,14,1
FRAUD,Center,5,06,08,1
THEFT,Center,1,10,12,8
CONDUCT,Center,4,12,20,2
CONDUCT,NorthEast,1,04,11,2
SEX,NorthEast,7,05,11,2
OTHER,NorthEast,5,05,06,7
SEX,SouthEast,6,09,01,2
OTHER,Center,3,09,18,12
SEX,SouthEast,3,09,14,1
OTHER,Center,6,12,08,4
SEX,SouthWest,2,10,14,1
OTHER,SouthWest,4,01,03,1
DRUG/ALC,SouthEast,1,07,11,2
SEX,SouthEast,4,12,11,1
THEFT,NorthWest,4,08,01,2
OTHER,Center,2,08,16,6
TRESPASSING,Center,2,11,09,2
CONDUCT,NorthEast,3,11,06,5
MISSING PERSONS,NorthWest,7,12,19,2
OTHER,SouthWest,4,10,04,1
DRUG/ALC,NorthEast,6,03,00,1
SEX,SouthEast,6,05,02,2
THEFT,SouthWest,1,08,13,2
SEX,SouthEast,4,06,15,2
OTHER,NorthWest,3,02,12,4
SEX,NorthEast,4,06,10,5
OTHER,NorthWest,3,09,19,6
MISSING PERSONS,Center,6,01,16,2
