gendistrict,hood,category,count
BAYVIEW,Bayview,ARSON,54
BAYVIEW,Bayview,ASSAULT,1295
BAYVIEW,Bayview,BAD CHECKS,2
BAYVIEW,Bayview,BRIBERY,12
BAYVIEW,Bayview,BURGLARY,238
BAYVIEW,Bayview,DISORDERLY CONDUCT,20
BAYVIEW,Bayview,DRIVING UNDER THE INFLUENCE,14
BAYVIEW,Bayview,DRUG/NARCOTIC,248
BAYVIEW,Bayview,DRUNKENNESS,17
BAYVIEW,Bayview,EMBEZZLEMENT,20
BAYVIEW,Bayview,EXTORTION,4
BAYVIEW,Bayview,FAMILY OFFENSES,4
BAYVIEW,Bayview,FORGERY/COUNTERFEITING,22
BAYVIEW,Bayview,FRAUD,58
BAYVIEW,Bayview,GAMBLING,4
BAYVIEW,Bayview,KIDNAPPING,46
BAYVIEW,Bayview,LARCENY/THEFT,881
BAYVIEW,Bayview,LIQUOR LAWS,20
BAYVIEW,Bayview,MISSING PERSON,316
BAYVIEW,Bayview,NON-CRIMINAL,733
BAYVIEW,Bayview,OTHER OFFENSES,1679
BAYVIEW,Bayview,RECOVERED VEHICLE,144
BAYVIEW,Bayview,ROBBERY,205
BAYVIEW,Bayview,RUNAWAY,23
BAYVIEW,Bayview,SECONDARY CODES,177
BAYVIEW,Bayview,"SEX OFFENSES, FORCIBLE",55
BAYVIEW,Bayview,"SEX OFFENSES, NON FORCIBLE",1
BAYVIEW,Bayview,STOLEN PROPERTY,33
BAYVIEW,Bayview,SUICIDE,3
BAYVIEW,Bayview,SUSPICIOUS OCC,390
BAYVIEW,Bayview,TRESPASS,59
BAYVIEW,Bayview,VANDALISM,546
BAYVIEW,Bayview,VEHICLE THEFT,706
BAYVIEW,Bayview,WARRANTS,375
BAYVIEW,Bayview,WEAPON LAWS,235
BAYVIEW,Bernal Heights,ASSAULT,2
BAYVIEW,Bernal Heights,DRUG/NARCOTIC,1
BAYVIEW,Bernal Heights,LARCENY/THEFT,1
BAYVIEW,Bernal Heights,OTHER OFFENSES,2
BAYVIEW,Bernal Heights,WARRANTS,1
BAYVIEW,Castro/Upper Market,OTHER OFFENSES,1
BAYVIEW,Excelsior,ARSON,1
BAYVIEW,Excelsior,ASSAULT,146
BAYVIEW,Excelsior,BAD CHECKS,1
BAYVIEW,Excelsior,BRIBERY,2
BAYVIEW,Excelsior,BURGLARY,50
BAYVIEW,Excelsior,DRIVING UNDER THE INFLUENCE,3
BAYVIEW,Excelsior,DRUG/NARCOTIC,11
BAYVIEW,Excelsior,DRUNKENNESS,4
BAYVIEW,Excelsior,EXTORTION,1
BAYVIEW,Excelsior,FAMILY OFFENSES,1
BAYVIEW,Excelsior,FORGERY/COUNTERFEITING,2
BAYVIEW,Excelsior,FRAUD,17
BAYVIEW,Excelsior,KIDNAPPING,4
BAYVIEW,Excelsior,LARCENY/THEFT,178
BAYVIEW,Excelsior,MISSING PERSON,48
BAYVIEW,Excelsior,NON-CRIMINAL,91
BAYVIEW,Excelsior,OTHER OFFENSES,134
BAYVIEW,Excelsior,PROSTITUTION,1
BAYVIEW,Excelsior,RECOVERED VEHICLE,8
BAYVIEW,Excelsior,ROBBERY,48
BAYVIEW,Excelsior,RUNAWAY,2
BAYVIEW,Excelsior,SECONDARY CODES,18
BAYVIEW,Excelsior,"SEX OFFENSES, FORCIBLE",8
BAYVIEW,Excelsior,"SEX OFFENSES, NON FORCIBLE",1
BAYVIEW,Excelsior,STOLEN PROPERTY,6
BAYVIEW,Excelsior,SUICIDE,1
BAYVIEW,Excelsior,SUSPICIOUS OCC,53
BAYVIEW,Excelsior,TRESPASS,3
BAYVIEW,Excelsior,VANDALISM,82
BAYVIEW,Excelsior,VEHICLE THEFT,93
BAYVIEW,Excelsior,WARRANTS,28
BAYVIEW,Excelsior,WEAPON LAWS,18
BAYVIEW,Inner Richmond,ASSAULT,2
BAYVIEW,Inner Richmond,VANDALISM,1
BAYVIEW,Inner Richmond,VEHICLE THEFT,2
BAYVIEW,Inner Sunset,VANDALISM,1
BAYVIEW,Lakeshore,OTHER OFFENSES,1
BAYVIEW,Mission,NON-CRIMINAL,2
BAYVIEW,Mission,RECOVERED VEHICLE,1
BAYVIEW,Mission,TRESPASS,1
BAYVIEW,Mission,VANDALISM,1
BAYVIEW,Outer Richmond,BURGLARY,1
BAYVIEW,Outer Richmond,DISORDERLY CONDUCT,2
BAYVIEW,Outer Richmond,LARCENY/THEFT,1
BAYVIEW,Outer Richmond,OTHER OFFENSES,1
BAYVIEW,Outer Richmond,TRESPASS,2
BAYVIEW,Outer Richmond,VANDALISM,1
BAYVIEW,Outer Sunset,NON-CRIMINAL,1
BAYVIEW,Potrero Hill,ARSON,13
BAYVIEW,Potrero Hill,ASSAULT,238
BAYVIEW,Potrero Hill,BRIBERY,4
BAYVIEW,Potrero Hill,BURGLARY,188
BAYVIEW,Potrero Hill,DISORDERLY CONDUCT,11
BAYVIEW,Potrero Hill,DRIVING UNDER THE INFLUENCE,7
BAYVIEW,Potrero Hill,DRUG/NARCOTIC,53
BAYVIEW,Potrero Hill,DRUNKENNESS,2
BAYVIEW,Potrero Hill,EMBEZZLEMENT,2
BAYVIEW,Potrero Hill,EXTORTION,1
BAYVIEW,Potrero Hill,FAMILY OFFENSES,4
BAYVIEW,Potrero Hill,FORGERY/COUNTERFEITING,6
BAYVIEW,Potrero Hill,FRAUD,36
BAYVIEW,Potrero Hill,KIDNAPPING,7
BAYVIEW,Potrero Hill,LARCENY/THEFT,1086
BAYVIEW,Potrero Hill,LOITERING,1
BAYVIEW,Potrero Hill,MISSING PERSON,45
BAYVIEW,Potrero Hill,NON-CRIMINAL,275
BAYVIEW,Potrero Hill,OTHER OFFENSES,380
BAYVIEW,Potrero Hill,RECOVERED VEHICLE,30
BAYVIEW,Potrero Hill,ROBBERY,51
BAYVIEW,Potrero Hill,RUNAWAY,3
BAYVIEW,Potrero Hill,SECONDARY CODES,33
BAYVIEW,Potrero Hill,"SEX OFFENSES, FORCIBLE",15
BAYVIEW,Potrero Hill,STOLEN PROPERTY,16
BAYVIEW,Potrero Hill,SUSPICIOUS OCC,117
BAYVIEW,Potrero Hill,TRESPASS,33
BAYVIEW,Potrero Hill,VANDALISM,352
BAYVIEW,Potrero Hill,VEHICLE THEFT,231
BAYVIEW,Potrero Hill,WARRANTS,104
BAYVIEW,Potrero Hill,WEAPON LAWS,41
BAYVIEW,South of Market,ARSON,1
BAYVIEW,South of Market,ASSAULT,55
BAYVIEW,South of Market,BAD CHECKS,1
BAYVIEW,South of Market,BRIBERY,1
BAYVIEW,South of Market,BURGLARY,32
BAYVIEW,South of Market,DISORDERLY CONDUCT,12
BAYVIEW,South of Market,DRIVING UNDER THE INFLUENCE,1
BAYVIEW,South of Market,DRUG/NARCOTIC,14
BAYVIEW,South of Market,DRUNKENNESS,2
BAYVIEW,South of Market,EMBEZZLEMENT,1
BAYVIEW,South of Market,EXTORTION,2
BAYVIEW,South of Market,FAMILY OFFENSES,1
BAYVIEW,South of Market,FORGERY/COUNTERFEITING,3
BAYVIEW,South of Market,FRAUD,12
BAYVIEW,South of Market,KIDNAPPING,2
BAYVIEW,South of Market,LARCENY/THEFT,168
BAYVIEW,South of Market,LOITERING,1
BAYVIEW,South of Market,MISSING PERSON,59
BAYVIEW,South of Market,NON-CRIMINAL,165
BAYVIEW,South of Market,OTHER OFFENSES,101
BAYVIEW,South of Market,PROSTITUTION,2
BAYVIEW,South of Market,RECOVERED VEHICLE,3
BAYVIEW,South of Market,ROBBERY,2
BAYVIEW,South of Market,SECONDARY CODES,17
BAYVIEW,South of Market,"SEX OFFENSES, FORCIBLE",4
BAYVIEW,South of Market,STOLEN PROPERTY,2
BAYVIEW,South of Market,SUSPICIOUS OCC,30
BAYVIEW,South of Market,TRESPASS,23
BAYVIEW,South of Market,VANDALISM,52
BAYVIEW,South of Market,VEHICLE THEFT,13
BAYVIEW,South of Market,WARRANTS,29
BAYVIEW,South of Market,WEAPON LAWS,10
BAYVIEW,Visitacion Valley,ARSON,2
BAYVIEW,Visitacion Valley,ASSAULT,35
BAYVIEW,Visitacion Valley,BRIBERY,1
BAYVIEW,Visitacion Valley,BURGLARY,11
BAYVIEW,Visitacion Valley,DISORDERLY CONDUCT,3
BAYVIEW,Visitacion Valley,DRIVING UNDER THE INFLUENCE,2
BAYVIEW,Visitacion Valley,DRUNKENNESS,2
BAYVIEW,Visitacion Valley,FORGERY/COUNTERFEITING,5
BAYVIEW,Visitacion Valley,FRAUD,4
BAYVIEW,Visitacion Valley,KIDNAPPING,1
BAYVIEW,Visitacion Valley,LARCENY/THEFT,38
BAYVIEW,Visitacion Valley,MISSING PERSON,13
BAYVIEW,Visitacion Valley,NON-CRIMINAL,37
BAYVIEW,Visitacion Valley,OTHER OFFENSES,38
BAYVIEW,Visitacion Valley,RECOVERED VEHICLE,10
BAYVIEW,Visitacion Valley,ROBBERY,9
BAYVIEW,Visitacion Valley,RUNAWAY,2
BAYVIEW,Visitacion Valley,SECONDARY CODES,5
BAYVIEW,Visitacion Valley,"SEX OFFENSES, FORCIBLE",4
BAYVIEW,Visitacion Valley,STOLEN PROPERTY,2
BAYVIEW,Visitacion Valley,SUSPICIOUS OCC,20
BAYVIEW,Visitacion Valley,TRESPASS,1
BAYVIEW,Visitacion Valley,VANDALISM,22
BAYVIEW,Visitacion Valley,VEHICLE THEFT,35
BAYVIEW,Visitacion Valley,WARRANTS,3
BAYVIEW,Visitacion Valley,WEAPON LAWS,2
CENTRAL,Chinatown,ARSON,10
CENTRAL,Chinatown,ASSAULT,150
CENTRAL,Chinatown,BURGLARY,45
CENTRAL,Chinatown,DISORDERLY CONDUCT,1
CENTRAL,Chinatown,DRIVING UNDER THE INFLUENCE,2
CENTRAL,Chinatown,DRUG/NARCOTIC,27
CENTRAL,Chinatown,DRUNKENNESS,9
CENTRAL,Chinatown,EMBEZZLEMENT,3
CENTRAL,Chinatown,EXTORTION,3
CENTRAL,Chinatown,FORGERY/COUNTERFEITING,6
CENTRAL,Chinatown,FRAUD,40
CENTRAL,Chinatown,KIDNAPPING,2
CENTRAL,Chinatown,LARCENY/THEFT,571
CENTRAL,Chinatown,LIQUOR LAWS,1
CENTRAL,Chinatown,MISSING PERSON,53
CENTRAL,Chinatown,NON-CRIMINAL,247
CENTRAL,Chinatown,OTHER OFFENSES,169
CENTRAL,Chinatown,PROSTITUTION,14
CENTRAL,Chinatown,RECOVERED VEHICLE,3
CENTRAL,Chinatown,ROBBERY,57
CENTRAL,Chinatown,SECONDARY CODES,21
CENTRAL,Chinatown,"SEX OFFENSES, FORCIBLE",8
CENTRAL,Chinatown,STOLEN PROPERTY,13
CENTRAL,Chinatown,SUSPICIOUS OCC,55
CENTRAL,Chinatown,TRESPASS,17
CENTRAL,Chinatown,VANDALISM,125
CENTRAL,Chinatown,VEHICLE THEFT,37
CENTRAL,Chinatown,WARRANTS,38
CENTRAL,Chinatown,WEAPON LAWS,15
CENTRAL,Downtown/Civic Center,ARSON,2
CENTRAL,Downtown/Civic Center,ASSAULT,233
CENTRAL,Downtown/Civic Center,BRIBERY,1
CENTRAL,Downtown/Civic Center,BURGLARY,112
CENTRAL,Downtown/Civic Center,DISORDERLY CONDUCT,9
CENTRAL,Downtown/Civic Center,DRIVING UNDER THE INFLUENCE,3
CENTRAL,Downtown/Civic Center,DRUG/NARCOTIC,48
CENTRAL,Downtown/Civic Center,DRUNKENNESS,10
CENTRAL,Downtown/Civic Center,EMBEZZLEMENT,4
CENTRAL,Downtown/Civic Center,FORGERY/COUNTERFEITING,19
CENTRAL,Downtown/Civic Center,FRAUD,66
CENTRAL,Downtown/Civic Center,KIDNAPPING,1
CENTRAL,Downtown/Civic Center,LARCENY/THEFT,878
CENTRAL,Downtown/Civic Center,LIQUOR LAWS,1
CENTRAL,Downtown/Civic Center,LOITERING,1
CENTRAL,Downtown/Civic Center,MISSING PERSON,51
CENTRAL,Downtown/Civic Center,NON-CRIMINAL,411
CENTRAL,Downtown/Civic Center,OTHER OFFENSES,241
CENTRAL,Downtown/Civic Center,PROSTITUTION,9
