hood,category,count
Bayview,ARSON,54
Bayview,ASSAULT,1295
Bayview,BAD CHECKS,2
Bayview,BRIBERY,12
Bayview,BURGLARY,239
Bayview,DISORDERLY CONDUCT,20
Bayview,DRIVING UNDER THE INFLUENCE,14
Bayview,DRUG/NARCOTIC,248
Bayview,DRUNKENNESS,17
Bayview,EMBEZZLEMENT,20
Bayview,EXTORTION,4
Bayview,FAMILY OFFENSES,4
Bayview,FORGERY/COUNTERFEITING,22
Bayview,FRAUD,58
Bayview,GAMBLING,4
Bayview,KIDNAPPING,46
Bayview,LARCENY/THEFT,881
Bayview,LIQUOR LAWS,20
Bayview,MISSING PERSON,316
Bayview,NON-CRIMINAL,733
Bayview,OTHER OFFENSES,1680
Bayview,RECOVERED VEHICLE,144
Bayview,ROBBERY,205
Bayview,RUNAWAY,23
Bayview,SECONDARY CODES,177
Bayview,"SEX OFFENSES, FORCIBLE",55
Bayview,"SEX OFFENSES, NON FORCIBLE",1
Bayview,STOLEN PROPERTY,33
Bayview,SUICIDE,3
Bayview,SUSPICIOUS OCC,391
Bayview,TRESPASS,59
Bayview,VANDALISM,547
Bayview,VEHICLE THEFT,706
Bayview,WARRANTS,376
Bayview,WEAPON LAWS,235
Bernal Heights,ARSON,5
Bernal Heights,ASSAULT,372
Bernal Heights,BRIBERY,1
Bernal Heights,BURGLARY,174
Bernal Heights,DISORDERLY CONDUCT,7
Bernal Heights,DRIVING UNDER THE INFLUENCE,7
Bernal Heights,DRUG/NARCOTIC,35
Bernal Heights,DRUNKENNESS,8
Bernal Heights,EMBEZZLEMENT,1
Bernal Heights,EXTORTION,1
Bernal Heights,FORGERY/COUNTERFEITING,10
Bernal Heights,FRAUD,33
Bernal Heights,KIDNAPPING,7
Bernal Heights,LARCENY/THEFT,523
Bernal Heights,LIQUOR LAWS,7
Bernal Heights,LOITERING,1
Bernal Heights,MISSING PERSON,120
Bernal Heights,NON-CRIMINAL,315
Bernal Heights,OTHER OFFENSES,413
Bernal Heights,RECOVERED VEHICLE,26
Bernal Heights,ROBBERY,85
Bernal Heights,RUNAWAY,1
Bernal Heights,SECONDARY CODES,42
Bernal Heights,"SEX OFFENSES, FORCIBLE",15
Bernal Heights,STOLEN PROPERTY,15
Bernal Heights,SUICIDE,1
Bernal Heights,SUSPICIOUS OCC,131
Bernal Heights,TREA,1
Bernal Heights,TRESPASS,30
Bernal Heights,VANDALISM,179
Bernal Heights,VEHICLE THEFT,263
Bernal Heights,WARRANTS,77
Bernal Heights,WEAPON LAWS,38
Castro/Upper Market,ARSON,7
Castro/Upper Market,ASSAULT,399
Castro/Upper Market,BRIBERY,1
Castro/Upper Market,BURGLARY,227
Castro/Upper Market,DISORDERLY CONDUCT,14
Castro/Upper Market,DRIVING UNDER THE INFLUENCE,11
Castro/Upper Market,DRUG/NARCOTIC,104
Castro/Upper Market,DRUNKENNESS,21
Castro/Upper Market,EMBEZZLEMENT,4
Castro/Upper Market,FAMILY OFFENSES,1
Castro/Upper Market,FORGERY/COUNTERFEITING,12
Castro/Upper Market,FRAUD,91
Castro/Upper Market,KIDNAPPING,4
Castro/Upper Market,LARCENY/THEFT,967
Castro/Upper Market,LIQUOR LAWS,5
Castro/Upper Market,MISSING PERSON,120
Castro/Upper Market,NON-CRIMINAL,599
Castro/Upper Market,OTHER OFFENSES,461
Castro/Upper Market,PROSTITUTION,1
Castro/Upper Market,RECOVERED VEHICLE,16
Castro/Upper Market,ROBBERY,96
Castro/Upper Market,SECONDARY CODES,42
Castro/Upper Market,"SEX OFFENSES, FORCIBLE",22
Castro/Upper Market,"SEX OFFENSES, NON FORCIBLE",1
Castro/Upper Market,STOLEN PROPERTY,23
Castro/Upper Market,SUICIDE,1
Castro/Upper Market,SUSPICIOUS OCC,200
Castro/Upper Market,TRESPASS,66
Castro/Upper Market,VANDALISM,283
Castro/Upper Market,VEHICLE THEFT,257
Castro/Upper Market,WARRANTS,202
Castro/Upper Market,WEAPON LAWS,42
Chinatown,ARSON,10
Chinatown,ASSAULT,150
Chinatown,BURGLARY,45
Chinatown,DISORDERLY CONDUCT,1
Chinatown,DRIVING UNDER THE INFLUENCE,2
Chinatown,DRUG/NARCOTIC,27
Chinatown,DRUNKENNESS,9
Chinatown,EMBEZZLEMENT,3
Chinatown,EXTORTION,3
Chinatown,FORGERY/COUNTERFEITING,6
Chinatown,FRAUD,40
Chinatown,KIDNAPPING,2
Chinatown,LARCENY/THEFT,571
Chinatown,LIQUOR LAWS,1
Chinatown,MISSING PERSON,53
Chinatown,NON-CRIMINAL,247
Chinatown,OTHER OFFENSES,169
Chinatown,PROSTITUTION,14
Chinatown,RECOVERED VEHICLE,3
Chinatown,ROBBERY,57
Chinatown,SECONDARY CODES,21
Chinatown,"SEX OFFENSES, FORCIBLE",8
Chinatown,STOLEN PROPERTY,13
Chinatown,SUSPICIOUS OCC,55
Chinatown,TRESPASS,17
Chinatown,VANDALISM,125
Chinatown,VEHICLE THEFT,37
Chinatown,WARRANTS,38
Chinatown,WEAPON LAWS,15
Crocker Amazon,ARSON,1
Crocker Amazon,ASSAULT,106
