category,hood,weekday,month,hour,count
THEFT,SouthWest,5,03,22,8
MISSING PERSONS,SouthWest,4,06,11,2
THEFT,Center,3,07,13,2
MISSING PERSONS,NorthEast,2,09,16,3
DRUG/ALC,NorthEast,2,06,04,1
THEFT,NorthEast,6,09,18,43
THEFT,NorthEast,3,12,08,16
SEX,NorthEast,5,11,04,4
SEX,SouthWest,4,03,13,1
THEFT,NorthEast,3,06,19,42
THEFT,NorthWest,3,04,02,2
THEFT,NorthEast,7,06,11,29
THEFT,NorthEast,2,07,18,47
OTHER,SouthEast,7,12,12,3
SEX,NorthWest,5,03,07,1
MISSING PERSONS,NorthEast,1,11,15,2
DRUG/ALC,Center,4,09,02,1
DRUG/ALC,NorthWest,7,10,16,1
SEX,SouthWest,3,11,21,1
THEFT,SouthEast,6,04,17,6
OTHER,SouthWest,4,09,08,10
THEFT,SouthEast,7,12,10,1
MISSING PERSONS,Center,3,04,12,2
THEFT,Center,6,09,17,4
THEFT,NorthEast,7,12,15,26
SEX,NorthWest,4,09,12,1
THEFT,Center,5,10,09,3
THEFT,Center,7,03,21,3
MISSING PERSONS,SouthEast,3,02,19,2
OTHER,NorthEast,1,03,02,7
THEFT,SouthWest,5,06,18,4
THEFT,Center,2,07,17,9
THEFT,SouthWest,1,07,15,1
DRUG/ALC,NorthEast,3,07,21,3
MISSING PERSONS,SouthWest,4,12,15,1
THEFT,SouthWest,6,11,16,3
OTHER,NorthEast,6,03,10,10
SEX,NorthEast,1,10,03,2
DRUG/ALC,Center,6,06,20,2
OTHER,SouthWest,7,06,00,1
OTHER,SouthWest,6,01,19,1
OTHER,SouthEast,6,03,15,11
MISSING PERSONS,Center,5,08,13,2
SEX,SouthWest,4,04,16,1
OTHER,NorthEast,7,07,14,14
DRUG/ALC,Center,4,08,22,1
MISSING PERSONS,SouthEast,3,03,18,3
THEFT,NorthEast,3,10,02,6
OTHER,Center,7,05,09,5
SEX,NorthWest,4,03,18,2
THEFT,NorthEast,3,02,22,23
OTHER,SouthWest,1,12,14,3
THEFT,SouthEast,7,02,07,3
DRUG/ALC,NorthEast,7,04,16,3
SEX,NorthEast,1,01,04,1
MISSING PERSONS,SouthEast,3,06,22,1
THEFT,Center,7,02,04,1
THEFT,NorthWest,5,06,13,9
OTHER,SouthEast,4,02,00,11
SEX,SouthEast,7,07,17,4
THEFT,SouthWest,4,06,07,5
MISSING PERSONS,NorthEast,5,01,15,6
DRUG/ALC,Center,2,02,11,2
OTHER,NorthEast,4,11,14,14
THEFT,NorthEast,6,03,12,26
SEX,SouthEast,2,03,21,2
SEX,NorthEast,5,08,21,4
MISSING PERSONS,SouthEast,5,01,10,2
THEFT,NorthEast,1,12,11,23
THEFT,SouthEast,6,10,19,2
MISSING PERSONS,SouthWest,5,10,12,2
OTHER,SouthEast,1,06,12,3
MISSING PERSONS,SouthEast,1,02,15,1
MISSING PERSONS,NorthEast,1,02,10,2
DRUG/ALC,Center,7,01,10,1
THEFT,Center,2,10,09,5
THEFT,SouthWest,7,07,11,2
THEFT,SouthWest,3,07,19,1
THEFT,NorthWest,7,02,21,8
THEFT,SouthWest,2,06,18,6
THEFT,Center,5,07,17,8
OTHER,SouthEast,1,08,02,3
THEFT,SouthEast,4,09,20,5
THEFT,NorthEast,7,01,01,20
THEFT,Center,4,04,20,5
SEX,Center,1,02,01,2
SEX,Center,4,03,19,1
DRUG/ALC,NorthEast,1,05,17,2
THEFT,SouthWest,2,03,22,3
OTHER,Center,4,06,03,3
THEFT,SouthWest,4,11,11,1
SEX,NorthEast,2,11,04,4
THEFT,NorthEast,5,07,18,51
THEFT,SouthEast,1,06,10,6
THEFT,NorthEast,1,06,15,23
DRUG/ALC,Center,1,10,00,1
MISSING PERSONS,NorthEast,3,11,19,5
THEFT,SouthEast,6,06,02,2
THEFT,NorthWest,2,06,13,2
DRUG/ALC,NorthWest,4,11,22,1
OTHER,SouthEast,1,09,22,2
SEX,NorthEast,4,02,17,3
OTHER,Center,1,04,22,5
DRUG/ALC,Center,4,05,01,1
OTHER,NorthEast,7,07,00,16
THEFT,SouthWest,4,08,23,2
MISSING PERSONS,NorthWest,5,11,13,1
THEFT,NorthEast,7,11,07,8
THEFT,SouthEast,3,11,22,7
SEX,SouthEast,5,03,21,4
SEX,NorthEast,2,08,21,2
THEFT,SouthEast,6,08,12,4
THEFT,NorthEast,4,05,10,19
THEFT,SouthEast,4,05,15,7
MISSING PERSONS,NorthEast,2,01,15,3
OTHER,Center,6,01,13,7
SEX,SouthEast,7,10,09,5
OTHER,SouthWest,1,12,00,4
MISSING PERSONS,NorthEast,7,08,23,2
SEX,Center,5,12,10,3
THEFT,NorthWest,7,03,04,1
OTHER,SouthEast,4,02,14,2
OTHER,NorthEast,6,08,15,19
OTHER,SouthEast,6,08,10,3
OTHER,NorthEast,4,05,12,15
SEX,Center,6,11,20,2
MISSING PERSONS,NorthEast,6,10,22,1
THEFT,NorthWest,3,06,17,5
THEFT,NorthEast,4,07,07,7
MISSING PERSONS,NorthEast,1,12,07,2
MISSING PERSONS,NorthEast,3,08,18,2
OTHER,NorthEast,4,11,00,10
MISSING PERSONS,SouthEast,7,03,05,1
THEFT,Center,2,04,06,4
THEFT,SouthWest,3,10,06,1
SEX,NorthEast,3,11,10,2
MISSING PERSONS,NorthWest,2,12,18,1
SEX,SouthEast,3,11,15,1
OTHER,NorthWest,6,07,23,1
OTHER,NorthWest,5,01,14,2
MISSING PERSONS,NorthWest,4,11,15,1
THEFT,SouthEast,5,05,13,3
THEFT,SouthEast,6,07,06,1
MISSING PERSONS,Center,6,11,14,2
SEX,NorthEast,4,04,03,1
OTHER,NorthWest,3,02,20,1
SEX,SouthEast,4,07,08,3
DRUG/ALC,NorthEast,2,01,22,1
SEX,SouthWest,1,10,16,1
OTHER,NorthWest,2,01,00,2
MISSING PERSONS,Center,4,03,10,2
OTHER,NorthWest,4,03,02,3
THEFT,SouthWest,6,05,09,2
THEFT,SouthEast,1,07,21,3
SEX,NorthEast,1,02,19,13
SEX,NorthEast,4,03,01,7
THEFT,Center,3,01,11,2
THEFT,Center,6,06,00,5
THEFT,Center,7,01,19,4
OTHER,NorthWest,5,09,05,1
SEX,NorthEast,1,09,12,4
SEX,NorthEast,1,03,18,4
OTHER,Center,7,11,16,7
SEX,NorthEast,2,05,05,1
OTHER,SouthWest,7,09,17,1
OTHER,Center,5,09,11,3
THEFT,NorthWest,5,08,08,3
OTHER,SouthEast,5,04,11,2
THEFT,NorthWest,3,01,05,2
SEX,Center,7,09,06,1
OTHER,SouthWest,6,03,21,1
DRUG/ALC,Center,4,04,14,1
THEFT,NorthEast,6,11,03,14
OTHER,SouthWest,1,03,06,1
OTHER,Center,1,08,00,4
OTHER,SouthEast,7,10,13,6
DRUG/ALC,NorthEast,4,05,19,5
SEX,SouthEast,2,01,19,8
SEX,SouthWest,2,03,15,2
THEFT,NorthWest,3,09,14,7
SEX,NorthEast,5,05,23,4
OTHER,Center,4,07,16,3
DRUG/ALC,NorthWest,6,04,15,2
THEFT,NorthWest,2,07,01,3
SEX,NorthEast,1,06,22,3
THEFT,Center,2,11,08,3
THEFT,Center,4,12,23,9
OTHER,NorthWest,5,01,00,5
SEX,Center,4,01,21,1
THEFT,SouthEast,3,05,17,5
MISSING PERSONS,Center,6,05,12,2
OTHER,NorthWest,6,07,05,2
SEX,SouthEast,3,02,10,1
OTHER,Center,4,10,22,1
SEX,NorthEast,3,02,15,6
SEX,SouthEast,4,08,01,1
THEFT,NorthWest,4,12,11,6
OTHER,NorthWest,2,09,05,2
OTHER,Center,4,02,02,2
THEFT,NorthWest,4,06,15,8
THEFT,Center,5,04,06,1
THEFT,SouthWest,7,01,13,3
THEFT,SouthEast,5,09,06,1
OTHER,NorthWest,2,01,14,1
OTHER,Center,3,03,20,10
THEFT,Center,1,01,08,2
SEX,NorthEast,7,02,08,4
THEFT,SouthEast,2,05,13,3
MISSING PERSONS,NorthEast,4,01,13,1
THEFT,NorthWest,6,05,02,6
OTHER,SouthWest,4,03,09,6
THEFT,Center,3,06,01,9
OTHER,NorthWest,5,09,23,1
THEFT,Center,6,06,14,5
OTHER,NorthWest,7,08,16,4
THEFT,NorthWest,1,05,10,4
OTHER,SouthEast,3,01,06,1
SEX,SouthWest,5,03,15,2
THEFT,Center,1,10,20,10
THEFT,SouthWest,4,05,21,3
DRUG/ALC,SouthEast,4,01,23,1
SEX,NorthWest,1,02,17,1
MISSING PERSONS,Center,2,06,08,4
SEX,NorthEast,2,05,23,1
DRUG/ALC,NorthEast,1,11,22,1
THEFT,NorthWest,5,07,01,2
THEFT,Center,5,11,08,2
THEFT,NorthWest,3,01,23,1
OTHER,Center,6,07,11,9
THEFT,NorthWest,1,07,07,2
THEFT,NorthWest,3,09,00,1
SEX,SouthEast,1,08,18,4
OTHER,Center,1,08,14,5
DRUG/ALC,SouthEast,4,09,00,2
DRUG/ALC,Center,4,04,00,2
SEX,Center,7,05,13,5
SEX,NorthEast,7,12,22,2
OTHER,NorthWest,1,11,00,2
SEX,SouthEast,3,12,07,6
OTHER,NorthWest,1,05,12,2
OTHER,Center,2,09,11,7
THEFT,NorthWest,7,01,18,5
THEFT,SouthEast,6,02,03,1
OTHER,SouthEast,2,04,11,4
THEFT,NorthWest,2,08,08,1
SEX,NorthEast,5,05,05,2
SEX,SouthWest,1,05,08,2
THEFT,Center,4,12,05,3
SEX,Center,3,09,02,3
SEX,SouthEast,3,04,02,2
THEFT,SouthEast,5,03,07,3
THEFT,NorthEast,2,08,07,8
OTHER,NorthEast,4,09,15,9
MISSING PERSONS,SouthEast,7,10,16,2
OTHER,Center,4,04,10,8
OTHER,SouthEast,4,09,10,5
DRUG/ALC,Center,5,07,22,1
THEFT,Center,1,09,03,1
THEFT,SouthEast,1,04,03,1
DRUG/ALC,NorthEast,6,12,06,1
SEX,NorthEast,7,11,21,5
DRUG/ALC,Center,5,05,08,3
THEFT,NorthEast,5,06,23,32
THEFT,SouthWest,6,01,00,6
THEFT,NorthEast,1,05,22,34
THEFT,SouthWest,3,06,11,3
MISSING PERSONS,Center,4,07,13,1
THEFT,Center,1,12,13,3
