category,hood,weekday,month,hour,count
OTHER,NorthEast,5,01,11,1
MISSING PERSONS,SouthEast,1,05,00,1
MISSING PERSONS,SouthEast,1,05,00,1
OTHER,NorthWest,6,03,14,1
OTHER,NorthWest,6,03,14,1
DRUG/ALC,Center,1,05,13,1
OTHER,Center,1,05,13,1
THEFT,Center,4,09,18,1
THEFT,Center,4,09,18,1
OTHER,Center,4,09,18,1
SEX,NorthWest,4,04,23,1
SEX,NorthWest,4,04,23,1
OTHER,NorthWest,4,04,23,1
OTHER,NorthWest,4,04,23,1
THEFT,NorthEast,4,07,09,1
OTHER,NorthEast,4,07,09,1
THEFT,SouthWest,4,07,20,1
SEX,SouthEast,5,05,09,1
OTHER,SouthEast,5,05,09,1
THEFT,SouthWest,4,09,07,1
SEX,SouthWest,4,09,07,1
SEX,SouthWest,4,09,07,1
SEX,SouthWest,4,09,07,1
OTHER,SouthWest,4,09,07,1
OTHER,SouthWest,4,09,07,1
OTHER,NorthEast,1,01,19,1
DRUG/ALC,NorthEast,7,09,07,1
OTHER,NorthEast,7,09,07,1
OTHER,NorthEast,7,09,07,1
OTHER,NorthEast,7,09,07,1
THEFT,NorthEast,2,09,12,1
THEFT,SouthEast,3,10,19,1
DRUG/ALC,SouthEast,3,10,19,1
MISSING PERSONS,NorthEast,2,08,12,1
MISSING PERSONS,NorthEast,2,08,12,1
THEFT,NorthEast,3,08,12,1
OTHER,NorthEast,3,08,12,1
THEFT,SouthEast,1,04,14,1
OTHER,SouthEast,1,04,14,1
THEFT,NorthEast,4,07,23,1
THEFT,NorthEast,4,07,23,1
OTHER,NorthEast,4,07,23,1
FRAUD,NorthEast,4,07,23,1
OTHER,NorthEast,4,07,23,1
OTHER,NorthEast,4,07,23,1
THEFT,NorthEast,3,11,11,1
OTHER,SouthWest,5,10,15,1
OTHER,SouthWest,5,10,15,1
OTHER,NorthEast,3,12,18,1
THEFT,SouthEast,1,10,18,1
MISSING PERSONS,SouthEast,1,10,18,1
OTHER,SouthEast,1,10,18,1
THEFT,NorthEast,4,12,15,1
DRUG/ALC,NorthEast,4,12,15,1
OTHER,NorthEast,4,12,15,1
OTHER,NorthEast,4,12,15,1
OTHER,NorthEast,4,12,15,1
DRUG/ALC,NorthEast,7,09,00,1
OTHER,SouthEast,2,05,16,1
OTHER,NorthEast,4,10,08,1
OTHER,SouthWest,4,08,09,1
OTHER,NorthEast,5,01,12,1
OTHER,NorthEast,5,07,15,1
THEFT,NorthEast,4,10,09,1
THEFT,NorthEast,3,01,15,1
SEX,SouthWest,3,03,17,1
SEX,SouthWest,3,03,17,1
OTHER,SouthWest,3,03,17,1
FRAUD,NorthEast,5,01,00,1
THEFT,NorthEast,5,01,00,1
OTHER,SouthWest,5,01,00,1
OTHER,SouthWest,5,01,00,1
OTHER,NorthEast,5,01,00,1
CONDUCT,NorthEast,5,01,00,1
SEX,NorthEast,5,01,00,1
SEX,NorthEast,5,01,00,1
THEFT,NorthEast,5,01,00,1
THEFT,NorthEast,5,01,12,1
OTHER,Center,5,01,01,1
OTHER,Center,5,01,01,1
OTHER,NorthEast,5,01,00,1
OTHER,NorthEast,5,01,01,1
OTHER,NorthEast,5,01,00,1
SEX,Center,5,01,00,1
OTHER,Center,5,01,00,1
DRUG/ALC,NorthEast,5,01,00,1
DRUG/ALC,NorthEast,5,01,00,1
DRUG/ALC,NorthEast,5,01,00,1
SEX,NorthEast,5,01,00,1
SEX,NorthEast,5,01,01,1
OTHER,NorthEast,5,01,01,1
CONDUCT,NorthEast,5,01,01,1
SEX,NorthEast,5,01,01,1
SEX,NorthEast,5,01,02,1
SEX,NorthEast,5,01,02,1
OTHER,NorthEast,5,01,02,1
OTHER,NorthEast,5,01,02,1
CONDUCT,SouthWest,5,01,00,1
OTHER,Center,5,01,01,1
SEX,Center,5,01,01,1
SEX,NorthEast,5,01,02,1
DRUG/ALC,NorthEast,5,01,02,1
SEX,NorthEast,5,01,01,1
SEX,NorthEast,5,01,02,1
CONDUCT,NorthEast,5,01,00,1
SEX,NorthEast,5,01,02,1
THEFT,NorthEast,5,01,02,1
SEX,SouthEast,5,01,02,1
OTHER,SouthEast,5,01,02,1
OTHER,SouthEast,5,01,02,1
OTHER,SouthEast,5,01,02,1
THEFT,Center,5,01,02,1
SEX,NorthEast,5,01,02,1
DRUG/ALC,NorthEast,5,01,02,1
TRESPASSING,NorthEast,5,01,05,1
OTHER,NorthEast,5,01,05,1
OTHER,NorthEast,5,01,05,1
