category,hood,count
SEX,Center,2661
THEFT,Center,9601
SEX,NorthEast,7650
THEFT,NorthEast,41605
SEX,SouthWest,1216
THEFT,SouthWest,4641
THEFT,NorthWest,6593
SEX,NorthWest,909
SEX,SouthEast,2711
THEFT,SouthEast,6356
MISSING PERSONS,SouthWest,509
DRUG/ALC,SouthWest,229
OTHER,Center,10499
OTHER,NorthEast,28950
DRUG/ALC,NorthWest,261
MISSING PERSONS,NorthWest,414
MISSING PERSONS,SouthEast,926
DRUG/ALC,SouthEast,505
MISSING PERSONS,Center,1110
DRUG/ALC,Center,1077
OTHER,SouthWest,4467
MISSING PERSONS,NorthEast,1748
DRUG/ALC,NorthEast,3158
OTHER,SouthEast,7428
OTHER,NorthWest,4747
